location,date,total_cases_per_million,total_deaths_per_million,reproduction_per_million,icu_patients_per_million,hosp_patients_per_million,total_tests,total_vaccinations,people_vaccinated_per_million,people_vaccinated,total_boosters,stringency_index,vaccination_rates,vaccination_result,population,aged_65_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,human_development_index,excess_mortality_cumulative_per_million
Latvia,8/1/21,74399.523,1369.09,0.0000012,3.214,19.283,3.090142,1.322471,0.735684,735684,0.000025,41.67,39.40599936,low,1866934,19.754,25063.846,0.0000007,0.00035006,0.00000491,0.0000256,0.000051,,0.00000557,0.866,1747.678279
Lebanon,8/1/21,83101.559,1168.389,0.00000134,,,,1.949258,1.114578,1114578,,65.74,16.46555085,very low,6769151,8.514,13367.565,,0.000266591,0.00001271,0.0000269,0.0000407,,0.0000029,0.744,
Lesotho,8/1/21,6300.407,174.612,0.00000072,,,,,,,,60.19,,,2159067,4.506,2851.153,0.0000596,0.000405126,0.00000394,0.0000004,0.0000539,2.117,,0.527,
Liberia,8/1/21,1043.201,28.57,0.00000065,,,,,,,,46.3,,,5180208,3.057,752.788,0.0000386,0.000272509,0.00000242,0.0000015,0.0000181,1.188,0.0000008,0.48,
Libya,8/1/21,36420.869,509.877,0.0000011,,,,,,,,64.81,,,6958538,4.424,17881.509,,0.000341862,0.00001043,,,,0.0000037,0.724,
Liechtenstein,8/1/21,83389.972,1516.181,0.00000125,,,0.05762,,,,,44.44,,,38254,,,,,0.00000777,,,,0.000002397,0.919,
Lithuania,8/1/21,105215.807,1641.72,0.00000151,,60.598,4.201065,2.586256,1.415924,1415924,0.000388,29.63,52.63928038,high,2689862,19.002,29524.265,0.0000007,0.000342989,0.00000367,0.0000213,0.000038,,0.00000656,0.882,3781.94123
Low income,8/1/21,1629.988,43.449,,,,,10.52865,7.841992,7841992,,,1.178982683,very low,665149040,,,,,,,,,,,
Lower middle income,8/1/21,15433.05,262.721,,,,,733.470023,547.130476,547130476,,,16.42712555,very low,3330652550,,,,,,,,,,,
Luxembourg,8/1/21,116364.793,1294.867,0.00000088,11.027,39.382,3.292327,,,,,37.96,,,634814,14.312,94277.965,0.0000002,0.000128275,0.00000442,0.0000209,0.000026,,0.00000451,0.916,7.876322828
Macao,8/1/21,89.612,,,,,,0.513239,0.285858,285858,,31.48,43.41766519,low,658391,9.798,104861.851,,,,,,,,,
Madagascar,8/1/21,1500.844,33.172,0.00000068,,,0.227523,,,,,53.7,,,28427333,2.929,1416.44,0.0000776,0.000405994,0.00000394,,,50.54,0.0000002,0.528,
Malawi,8/1/21,2678.739,84.539,0.00000093,,,,0.594333,0.454752,454752,,42.59,2.314532692,very low,19647681,2.979,1095.042,0.0000714,0.000227349,0.00000394,0.0000044,0.0000247,8.704,0.0000013,0.483,
Malaysia,8/1/21,34489.116,280.203,0.00000117,43.416,412.189,21.75728,21.609848,14.515421,14515421,,85.19,44.28647377,low,32776195,6.293,26808.164,0.0000001,0.000260942,0.00001674,0.000001,0.0000424,,0.0000019,0.81,
Maldives,8/1/21,142649.277,406.534,0.00000098,,,1.204433,0.59512,0.323568,323568,,,59.52098893,high,543620,4.12,15183.616,,0.000164905,0.00000919,0.0000021,0.000055,95.803,,0.74,
Mali,8/1/21,699.424,25.557,0.00000116,,,,,,,,8.33,,,20855724,2.519,2014.306,,0.000268024,0.00000242,0.0000016,0.000023,52.232,0.0000001,0.434,
Malta,8/1/21,66605.309,819.609,0.00000072,9.688,62.003,1.094044,0.760417,0.399724,399724,,47.22,77.45088161,very high,516100,19.426,36513.323,0.0000002,0.000168711,0.00000883,0.0000209,0.0000302,,0.000004485,0.895,535.555125
Marshall Islands,8/1/21,67.094,,,,,,,,,,,,,59618,,3819.202,,0.000557793,0.00003053,,,82.502,0.0000027,0.704,
Mauritania,8/1/21,5439.246,118.741,0.00000129,,,,,,,,36.11,,,4775110,3.138,3597.633,0.000006,0.000232347,0.00000242,,,15.95,,0.546,
Mauritius,8/1/21,3309.178,15.706,0.00000137,,,,,,,,51.85,,,1273428,10.945,20292.745,0.0000005,0.000224644,0.00002202,0.0000032,0.0000407,,0.0000034,0.804,
Mexico,8/1/21,21917.268,1850.375,0.00000118,,,8.282155,67.355342,47.463637,47463637,,67.13,36.43699378,low,130262220,6.857,17336.469,0.0000025,0.000152783,0.00001306,0.0000069,0.0000214,87.847,0.00000138,0.779,3807.476182
Micronesia (country),8/1/21,8.602,,,,,,,,,,,,,116255,4.81,3299.464,0.000016,0.000454343,0.00001202,,,,,0.62,
Moldova,8/1/21,64499.848,1554.414,0.00000125,,,,1.044529,0.549478,549478,,54.63,13.65493505,very low,4024025,10.864,5189.972,0.0000002,0.000408502,0.00000572,0.0000059,0.0000446,86.979,0.0000058,0.75,
Monaco,8/1/21,73152.834,835.02,0.00000114,,,,,,,,37.04,,,39520,,,,,0.00000546,,,,0.0000138,,
Mongolia,8/1/21,49923.677,244.798,0.00000094,,,,4.161918,2.178913,2178913,,61.11,65.4469342,high,3329282,4.031,11840.846,0.0000005,0.000460043,0.00000482,0.0000055,0.0000465,71.18,0.000007,0.737,
Montenegro,8/1/21,162553.678,2595.331,0.00000159,,,,0.332022,0.177757,177757,,,28.30295629,low,628051,14.762,16409.288,0.000001,0.000387305,0.00001008,0.000044,0.0000479,,0.000003861,0.829,3024.595136
Montserrat,8/1/21,4216.021,200.763,,,,,,,,,,,,4981,,,,,,,,,,,
Morocco,8/1/21,16862.246,263.303,0.00000151,,,7.014693,23.802188,13.672764,13672764,,59.26,36.61224256,low,37344787,6.769,7485.013,0.000001,0.000419146,0.00000714,0.0000008,0.0000471,,0.0000011,0.686,
Mozambique,8/1/21,3841.085,45.456,0.00000099,,,0.743059,,,,,53.7,,,32163045,3.158,1136.103,0.0000629,0.000329942,0.0000033,0.0000051,0.0000291,12.227,0.0000007,0.456,
Myanmar,8/1/21,5522.478,177.554,0.00000095,,,3.169465,,,,,66.2,,,54806014,5.732,5591.597,0.0000064,0.000202104,0.00000461,0.0000063,0.0000352,79.287,0.0000009,0.583,
Namibia,8/1/21,46103.263,1181.521,0.00000068,,,0.615104,0.214059,0.164703,164703,,59.26,6.365717121,very low,2587344,3.552,9541.808,0.0000134,0.000243811,0.00000394,0.0000097,0.0000342,44.6,,0.646,
Nauru,8/1/21,,,,,,,,,,,,,,10873,,12895.635,,,0.00002407,0.000043,0.0000369,,0.000005,,
Nepal,8/1/21,23500.316,332.773,0.00000112,,,3.934468,5.877759,4.064288,4064288,,64.81,13.69603692,very low,29674920,5.809,2442.804,0.000015,0.000260797,0.00000726,0.0000095,0.0000378,47.782,0.0000003,0.602,
Netherlands,8/1/21,109047.269,1040.174,0.00000063,10.889,28.882,15.658846,,,,,41.67,,,17173094,18.779,48472.545,,0.000109361,0.00000529,0.0000244,0.0000273,,0.00000332,0.944,998.2417845
New Caledonia,8/1/21,464.927,,,,,,,,,,,,,288217,9.954,,,,0.00002336,,,,0,,
New Zealand,8/1/21,561.223,5.072,0.00000094,,,,1.947679,1.197592,1197592,0.000024,22.22,23.36172288,very low,5126300,15.322,36085.843,,0.000128797,0.00000808,0.0000148,0.0000172,,0.00000261,0.931,-466.4963034
Nicaragua,8/1/21,1412.931,29.094,0.00000015,,,,,,,,2.78,,,6702379,5.445,5321.444,0.0000032,0.000137016,0.00001147,,,,0.0000009,0.66,
Niger,8/1/21,224.306,7.759,0.00000118,,,,,,,,19.44,,,25130810,2.553,926,0.0000445,0.000238339,0.00000242,0.0000001,0.0000154,8.978,0.0000003,0.394,
Nigeria,8/1/21,824.572,10.166,0.00000139,,,,,,,,52.78,,,211400704,2.751,5338.454,,0.000181013,0.00000242,0.0000006,0.0000108,41.949,0,0.539,
Niue,8/1/21,,,,,,,,,,,,,,1614,,,,,,,,,0,,
North Macedonia,8/1/21,75121.203,2637.491,0.00000204,,,,,,,,,,,2082661,13.26,13111.214,0.000005,0.000322688,0.00001008,,,,0.00000428,0.774,
Northern Cyprus,8/1/21,,,,,,,,,,,,,,,,,,,,,,,0,,
Northern Mariana Islands,8/1/21,,,,,,0.052894,,,,,,,,57910,,,0,0.000194994,,,,,0,,
Norway,8/1/21,25221.8,146.186,0.00000132,,,6.558331,5.456586,3.619666,3619666,0.000806,47.22,66.22597326,high,5465629,16.821,64800.057,0.0000002,0.000114316,0.00000531,0.0000196,0.0000207,,0.0000036,0.957,-240.1187494
Oceania,8/1/21,2459.281,35.655,,,,,15.493646,10.47951,10479510,0.000024,,24.24692539,very low,43219954,,,,,,,,,0,,
Oman,8/1/21,56828.189,737.071,0.00000055,,,,,,,,50,,,5223376,2.355,37960.709,,0.000266342,0.00001261,0.0000005,0.0000156,97.4,0.0000016,0.813,
Pakistan,8/1/21,4616.764,104.183,0.00000128,,,,30.590183,24.086196,24086196,,64.81,10.69547229,very low,225199929,4.495,5034.708,0.000004,0.000423031,0.00000835,0.0000028,0.0000367,59.607,0.0000006,0.557,
Palestine,8/1/21,60669.309,690.057,0.00000142,,,,1.00756,0.591603,591603,,87.04,11.32741028,very low,5222756,3.043,4449.898,0.000001,0.00026591,0.00001059,,,,0,0.708,
Panama,8/1/21,99615.824,1559.482,0.00000095,,,3.37717,2.311172,1.543487,1543487,,70.37,35.22669775,low,4381583,7.918,22267.037,0.0000022,0.000128346,0.00000833,0.0000024,0.0000099,,0.0000023,0.815,
Papua New Guinea,8/1/21,1942.865,21.055,0.00000062,,,,,,,,49.07,,,9119005,3.808,3823.194,,0.000561494,0.00001765,0.0000235,0.0000488,,0,0.555,
Paraguay,8/1/21,62703.672,2083.483,0.0000007,,,1.684944,2.616866,2.277833,2277833,,49.07,31.5505023,low,7219641,6.378,8827.01,0.0000017,0.000199128,0.00000827,0.000005,0.0000216,79.602,0.0000013,0.728,
Peru,8/1/21,63346.465,5888.533,0.00000094,,,15.552222,13.838955,8.252529,8252529,0.000486,71.3,24.73823057,very low,33359415,7.151,12236.706,0.0000035,0.000085755,0.00000595,0.0000048,,,0.0000016,0.777,6283.299632
Philippines,8/1/21,14387.514,252.29,0.00000122,,,15.891265,,,,,71.76,,,111046910,4.803,7599.188,,0.000370437,0.00000707,0.0000078,0.0000408,78.463,0.000001,0.718,
Pitcairn,8/1/21,,,,,,,,,,,,,,47,,,,,,,,,0,,
Poland,8/1/21,76276.662,1991.19,0.00000118,,7.329,,34.463736,18.357076,18357076,,38.89,48.56754769,low,37797000,16.763,27216.445,,0.000227331,0.00000591,0.0000233,0.0000331,,0.00000662,0.88,2998.663915
Portugal,8/1/21,95490.2,1708.215,0.00000093,19.67,90.776,15.405794,,,,0.000001,58.33,,,10167923,21.502,27936.896,0.0000005,0.000127842,0.00000985,0.0000163,0.00003,,0.00000339,0.864,1661.715967
Puerto Rico,8/1/21,,,,,,1.249037,,,,,17.59,,,2828246,15.168,35044.67,,0.000108094,0.0000129,,,,0,,1187.308318
Qatar,8/1/21,77252.396,205.083,0.00000108,,,0.736965,3.804298,2.065408,2065408,,50,70.47913615,high,2930524,1.307,116935.6,,0.00017669,0.00001652,0.0000008,0.0000269,,0.0000012,0.848,
Romania,8/1/21,56637.072,1792.472,0.00000144,3.294,25.356,,9.420877,5.005992,5005992,,38.43,26.17132827,low,19127772,17.85,23313.199,0.0000057,0.000370946,0.00000974,0.0000229,0.0000371,,0.000006892,0.828,3094.772355
Russia,8/1/21,42542.848,1074.113,0.00000098,,,,62.225609,36.759116,36759116,,30.09,25.19265753,low,145912022,14.178,24765.954,0.0000001,0.000431297,0.00000618,0.0000234,0.0000583,,0.00000805,0.824,
Rwanda,8/1/21,5373.849,61.839,0.00000083,,,,,,,,54.63,,,13276517,2.974,1854.211,0.000056,0.000191375,0.00000428,0.0000047,0.000021,4.617,0,0.543,
Saint Helena,8/1/21,656.276,,,,,,,,,,,,,6095,,,,,,,,,0,,
Saint Kitts and Nevis,8/1/21,11093.266,56.027,0.00000104,,,,,,,,,,,53546,,24654.385,,,0.00001284,,,,0.0000023,0.779,
Saint Lucia,8/1/21,30422.829,482.644,0.00000145,,,,,,,,,,,184401,9.721,12951.839,,0.00020462,0.00001162,,,87.202,0.0000013,0.759,
Saint Pierre and Miquelon,8/1/21,4851.845,,,,,,,,,,,,,5771,,,,,,,,,0,,
Saint Vincent and the Grenadines,8/1/21,20589.742,107.847,0.00000097,,,,,,,,,,,111269,7.724,10727.146,,0.000252675,0.00001162,,,,0.0000026,0.738,
Samoa,8/1/21,14.989,,,,,,,,,,,,,200144,5.606,6021.557,,0.000348977,0.00000921,0.0000167,0.0000381,,0,0.715,
San Marino,8/1/21,151220.229,2646.281,0.00000088,,,,,,,,38.89,,,34010,,56861.47,,,0.00000564,,,,0.0000038,,
Sao Tome and Principe,8/1/21,10986.551,165.649,0.0000009,,,,,,,,,,,223364,2.886,3052.714,0.0000323,0.000270113,0.00000242,,,41.34,0.0000029,0.625,
Saudi Arabia,8/1/21,14906.731,233.414,0.00000093,,,25.226779,27.322817,18.979146,18979146,,50,53.7033979,high,35340680,3.295,49045.411,,0.000259538,0.00001772,0.0000018,0.0000254,,0.0000027,0.854,
Senegal,8/1/21,3663.693,79.494,0.00000098,,,0.662198,,,,,19.44,,,17196308,3.008,2470.58,0.000038,0.000241219,0.00000242,0.0000004,0.0000166,20.859,0,0.512,
Serbia,8/1/21,105103.116,1035.866,0.00000143,1.164,62.722,4.677471,,,,,36.11,,,6871547,17.366,14048.881,,0.000439415,0.00001008,0.0000377,0.0000402,97.719,0.000005609,0.806,
Seychelles,8/1/21,185643.514,869.477,0.00000092,,,,,,,,84.26,,,98910,8.606,26382.287,0.0000011,0.000242648,0.00001055,0.0000071,0.0000357,,0.0000036,0.796,
Sierra Leone,8/1/21,771.74,14.74,0.00000058,,,,,,,,43.98,,,8141343,2.538,1390.3,0.0000522,0.000325721,0.00000242,0.0000088,0.0000413,19.275,0,0.452,
Singapore,8/1/21,11937.436,6.785,0.00000103,,,,7.621243,4.320473,4320473,,50.93,79.22240355,very high,5453600,12.922,85535.383,,0.000092243,0.00001099,0.0000052,0.0000283,,0.0000024,0.938,
Sint Maarten (Dutch part),8/1/21,,,,,,,,,,,,,,43421,,36327.232,,,,,,,0,,
Slovakia,8/1/21,142498.353,2301.226,0.00000119,5.322,15.598,40.636532,4.379127,2.296754,2296754,0.000011,43.98,42.14792073,low,5449270,15.07,30155.152,0.0000007,0.000287959,0.00000729,0.0000231,0.0000377,,0.00000582,0.86,3067.695306
Slovenia,8/1/21,124727.056,2130.635,0.00000135,3.849,13.951,1.393449,1.701498,0.944368,944368,0.000072,25.93,45.43019921,low,2078723,19.062,31400.84,0,0.000153493,0.00000725,0.0000201,0.000025,,0.0000045,0.917,1713.600129
Solomon Islands,8/1/21,28.409,,,,,,,,,,38.89,,,703995,3.507,2205.923,0.0000251,0.00045978,0.00001868,,,35.89,0.0000014,0.567,
Somalia,8/1/21,944.772,49.696,0.00000133,,,,,,,,35.19,,,16359500,2.731,,,0.000365769,0.00000605,,,9.831,0.0000009,,
South Africa,8/1/21,40907.767,1202.342,0.00000092,,,14.901093,7.550367,,,,51.85,,,60041996,5.344,12294.876,0.0000189,0.00020038,0.00000552,0.0000081,0.0000332,43.993,0.00000232,0.709,3226.116933
South Korea,8/1/21,3917.772,40.912,0.00000099,6.315,,20.511425,25.816775,19.660814,19660814,0.000155,49.07,38.32130102,low,51305184,13.914,35938.374,0.0000002,0.000085998,0.0000068,0.0000062,0.0000409,,0.00001227,0.916,-50.36917907
South Sudan,8/1/21,970.796,10.456,0.00000082,,,,,,,,25,,,11381377,3.441,1569.888,,0.000280775,0.00001043,,,,,0.433,
Spain,8/1/21,95133.681,1743.195,0.000001,39.705,186.286,52.789514,56.795869,32.169472,32169472,,47.69,68.8187545,high,46745211,19.436,34272.36,0.000001,0.000099403,0.00000717,0.0000274,0.0000314,,0.00000297,0.904,1787.079322
Sri Lanka,8/1/21,14483.164,209.468,0.0000012,,,4.691737,12.098889,9.944683,9944683,,81.48,46.26013604,low,21497306,10.069,11669.077,0.0000007,0.000197093,0.00001068,0.0000003,0.000027,,0.0000036,0.782,
Sudan,8/1/21,826.955,61.813,0.00000044,,,,0.819035,0.636308,636308,,13.89,1.416871956,very low,44909351,3.548,4466.507,,0.000431388,0.00001567,,,23.437,0.0000008,0.51,
Suriname,8/1/21,42923.43,1100.038,0.0000009,,,,0.246782,0.187094,187094,,83.33,31.6145036,low,591798,6.933,13767.119,,0.000258314,0.00001254,0.0000074,0.0000429,67.779,0.0000031,0.738,
Sweden,8/1/21,108269.959,1442.399,0.00000146,1.575,10.531,10.963862,10.788386,6.393608,6393608,,37.04,62.9282278,high,10160159,19.985,46949.283,0.0000005,0.000133982,0.00000479,0.0000188,0.0000189,,0.00000222,0.945,813.1171963
Switzerland,8/1/21,82343.583,1238.484,0.00000135,4.704,20.538,8.696605,9.025258,4.72887,4728870,0.000236,44.44,54.2581981,high,8715494,18.436,57410.166,,0.000099739,0.00000559,0.0000226,0.0000289,,0.00000453,0.955,927.9221579
Syria,8/1/21,1421.724,104.839,0.00000127,,,,,,,,25.93,,,18275704,,,,0.000376264,,,,70.598,0.0000015,0.567,
Taiwan,8/1/21,657.64,33.075,0.00000076,,,2.089822,8.270213,7.881726,7881726,,56.48,33.04013145,low,23855008,,,,0.000103957,,,,,,,
Tajikistan,8/1/21,1594.933,12.513,0.00000107,,,,0.806815,0.750514,750514,,35.19,7.697875559,very low,9749625,3.466,2896.913,0.0000048,0.000427698,0.00000711,,,72.704,0.0000048,0.668,
Tanzania,8/1/21,16.537,0.341,0.00000002,,,,,,,,16.67,,,61498438,3.108,2683.304,0.0000491,0.000217288,0.00000575,0.0000033,0.0000267,47.953,0.0000007,0.529,
Thailand,8/1/21,8796.377,71.336,0.00000122,,,10.638127,17.866526,13.955087,13955087,,72.22,19.94984792,very low,69950844,11.373,16277.671,0.0000001,0.000109861,0.00000704,0.0000019,0.0000388,90.67,0.0000021,0.777,
Timor,8/1/21,8159.985,19.347,0.00000137,,,,,,,,64.35,,,1343875,3.556,6570.102,0.0000303,0.000335346,0.00000686,0.0000063,0.0000781,28.178,0.0000059,0.606,
Togo,8/1/21,1871.85,18.046,0.00000135,,,0.406705,,,,,42.59,,,8478242,2.839,1429.813,0.0000492,0.000280033,0.00000615,0.0000009,0.0000142,10.475,0.0000007,0.515,
Tokelau,8/1/21,,,,,,,,,,,,,,1368,,,,,,,,,,,
Tonga,8/1/21,,,,,,,,,,,43.52,,,106759,5.82,5425.621,,0.00022749,0.00001542,0.0000118,0.0000444,,0.0000026,0.725,
Trinidad and Tobago,8/1/21,27740.289,772.424,0.00000101,,,0.269468,0.58772,0.39265,392650,,83.33,27.97899918,low,1403374,10.014,28763.071,,0.000228467,0.00001097,,,89.443,0.000003,0.796,
Tunisia,8/1/21,49894.753,1681.25,0.00000085,,,,,,,,79.63,,,11935764,8.001,10849.297,0.000002,0.000318991,0.00000852,0.0000011,0.0000658,78.687,0.0000023,0.74,
Turkey,8/1/21,67588.783,604.731,0.0000014,,,68.079785,73.493059,41.062834,41062834,4.957403,50,48.28493994,low,85042736,8.153,25129.341,0.0000002,0.000171285,0.00001213,0.0000141,0.0000411,,0.00000281,0.82,
Turkmenistan,8/1/21,,,,,,,,,,,62.5,,,6117933,4.277,16389.023,,0.000536783,0.00000711,,,100,0.0000074,0.715,
Turks and Caicos Islands,8/1/21,63376.332,458.879,,,,,,,,,,,,39226,,,,,,,,,,,
Tuvalu,8/1/21,,,,,,,,,,,,,,11925,,3575.104,0.0000033,,0.00002725,,,,,,
Uganda,8/1/21,1998.895,57.211,0.00000078,,,1.479471,,,,,87.04,,,47123533,2.168,1697.707,0.0000416,0.000213333,0.0000025,0.0000034,0.0000167,21.222,0.0000005,0.544,
Ukraine,8/1/21,53706.089,1278.607,0.00000111,,,,5.632783,3.599167,3599167,,50.93,8.280262587,very low,43466822,16.462,7894.393,0.0000001,0.000539849,0.00000711,0.0000135,0.0000474,,0.0000088,0.779,
United Arab Emirates,8/1/21,68298.602,195.274,0.00000099,,,66.206956,16.810996,,,,65.28,,,9991083,1.144,67293.483,,0.00031784,0.00001726,0.0000012,0.0000374,,0.0000012,0.89,
United Kingdom,8/1/21,86353.602,1903.101,0.0000009,12.858,87.821,234.735789,85.277829,46.837614,46837614,,43.98,68.66969038,high,68207114,18.517,39753.244,0.0000002,0.000122137,0.00000428,0.00002,0.0000247,,0.00000254,0.932,1534.466038
United States,8/1/21,105568.245,1831.341,0.00000144,38.142,145.797,494.25939,354.948909,193.108832,193108832,,49.54,58.00543354,high,332915074,15.413,54225.446,0.0000012,0.000151089,0.00001079,0.0000191,0.0000246,,0.00000277,0.926,2009.492066
United States Virgin Islands,8/1/21,,,,,,0.078225,,,,,33.33,,,104218,18.601,,,0.00027367,0.00001226,,,,,,
Upper middle income,8/1/21,25099.969,701.535,,,,,2236.897584,999.96318,999963180,5.341805,,39.78096051,low,2513672790,,,,,,,,,,,
Uruguay,8/1/21,109484.177,1711.834,0.00000066,,,3.062792,4.819903,2.576328,2576328,0.002029,55.56,73.9229738,high,3485152,14.655,20551.409,0.0000001,0.000160708,0.00000693,0.000014,0.0000199,,0.0000028,0.817,
Uzbekistan,8/1/21,3837.132,25.931,0.00000116,,,,,,,,68.52,,,33935765,4.469,6253.104,0,0.000724417,0.00000757,0.0000013,0.0000247,,0.000004,0.72,
Vanuatu,8/1/21,12.72,3.18,,,,,,,,,22.22,,,314464,4.394,2921.909,0.0000132,0.0005463,0.00001202,0.0000028,0.0000345,25.209,,0.609,
Vatican,8/1/21,33251.232,,,,,,,,,,,,,812,,,,,,,,,,,
Venezuela,8/1/21,10683.629,125.658,0.00000097,,,,,,,,97.22,,,28704947,6.614,16745.022,,0.00020485,0.00000647,,,,0.0000008,0.711,
Vietnam,8/1/21,1604.45,13.304,0.00000128,,,,6.415219,5.756155,5756155,,79.17,5.863526191,very low,98168829,7.15,6171.884,0.000002,0.000245465,0.000006,0.000001,0.0000459,85.847,0.0000026,0.704,
Wallis and Futuna,8/1/21,40923.021,630.972,,,,,,,,,,,,11094,,,,,,,,,,,
Yemen,8/1/21,231.874,45.161,0.00000136,,,,,,,,37.96,,,30490639,2.922,1479.147,0.0000188,0.000495003,0.00000535,0.0000076,0.0000292,49.542,0.0000007,0.47,
Zambia,8/1/21,10374.534,180.015,0.00000073,,,2.095606,0.438885,0.285288,285288,,54.63,1.507812334,very low,18920657,2.48,3689.251,0.0000575,0.000234499,0.00000394,0.0000031,0.0000247,13.938,0.000002,0.584,
Zimbabwe,8/1/21,7258.465,237.408,0.00000079,,,0.967476,,,,,62.04,,,15092171,2.822,1899.775,0.0000214,0.000307846,0.00000182,0.0000016,0.0000307,36.791,0.0000017,0.571,